City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Gondanglegi,ID,-7.7479,112.0132,73.45,89,100,6.49,overcast clouds
145,Saint-Denis,FR,48.9167,2.3333,45.99,88,100,9.22,overcast clouds
146,Okato,NZ,-39.2,173.8833,53.91,100,83,9.19,broken clouds
147,Bluff,NZ,-46.6,168.3333,49.71,71,79,14.25,broken clouds
148,Roald,NO,62.5833,6.1333,46.76,81,40,11.5,scattered clouds
149,Clive,US,41.603,-93.7241,21.74,65,20,25.32,few clouds
150,Corinto,GR,37.9407,22.9573,57.88,90,100,1.97,overcast clouds
151,Moskovskoye,RU,45.2842,41.9103,32.65,73,60,27.54,broken clouds
152,Sambava,MG,-14.2667,50.1667,75.72,84,6,2.73,clear sky
153,Naze,JP,28.3667,129.4833,60.1,79,100,18.3,moderate rain
154,Cherskiy,RU,68.75,161.3,-8.03,89,100,2.82,overcast clouds
155,Saskylakh,RU,71.9167,114.0833,-29.34,100,100,6.87,overcast clouds
156,Saldanha,ZA,-33.0117,17.9442,66.16,79,36,11.9,scattered clouds
157,Nanortalik,GL,60.1432,-45.2371,29.71,84,63,15.7,broken clouds
158,Tuktoyaktuk,CA,69.4541,-133.0374,0.93,96,100,7.47,light snow
159,Ferrol,ES,43.4832,-8.2369,54.59,82,100,4.81,overcast clouds
160,Whyalla,AU,-33.0333,137.5833,62.91,66,49,14.54,scattered clouds
161,Alofi,NU,-19.0595,-169.9187,77.65,82,82,9.26,broken clouds
162,Karratha,AU,-20.7377,116.8463,81.84,55,28,9.28,light rain
163,Macia,MZ,-25.0269,33.0989,73.22,66,5,9.08,clear sky
164,Qaanaaq,GL,77.484,-69.3632,-21.48,82,11,5.84,few clouds
165,Katangli,RU,51.7102,143.2326,-7.31,97,91,10.13,overcast clouds
166,Te Anau,NZ,-45.4167,167.7167,39.4,91,12,1.68,few clouds
167,Ketchikan,US,55.3422,-131.6461,21.67,35,0,11.5,clear sky
168,Sisimiut,GL,66.9395,-53.6735,17.37,86,100,26.6,overcast clouds
169,Lakshmeshwar,IN,15.1333,75.4667,69.93,40,1,9.13,clear sky
170,Antsohihy,MG,-14.8796,47.9875,79.47,75,72,5.99,light rain
