City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Celestun,MX,81.75,overcast clouds,20.8667,-90.4,Hotel Flamingo Playa
255,Adrar,MR,82.42,scattered clouds,20.5022,-10.0711,No hotel found
256,Faanui,PF,79.86,clear sky,-16.4833,-151.75,Oa Oa Lodge
257,Natal,BR,84.85,few clouds,-5.795,-35.2094,Natal Palace Hotel
260,Atambua,ID,74.25,overcast clouds,-9.1061,124.8925,Hotel Matahari
261,Domoni,KM,79.41,broken clouds,-12.2569,44.5319,Hotel Djadid
263,Rocha,UY,87.96,clear sky,-34.4833,-54.3333,Hotel Municipal
264,Champerico,GT,80.46,broken clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
267,Angoche,MZ,76.15,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
272,Jalcocotan,MX,77.7,scattered clouds,21.4667,-105.1167,No hotel found
274,Hualmay,PE,71.62,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
276,Dingle,PH,75.6,overcast clouds,10.9995,122.6711,No hotel found
277,Lake City,US,78.62,clear sky,30.1897,-82.6393,Cypress Inn
278,Edd,ER,85.15,clear sky,13.9297,41.6925,No hotel found
287,Kruisfontein,ZA,73.89,light rain,-34.0033,24.7314,No hotel found
289,Port Blair,IN,81.12,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
292,Ambilobe,MG,76.48,moderate rain,-13.2,49.05,Hôtel National
293,Kelo,TD,87.51,clear sky,9.3086,15.8066,No hotel found
294,Marsh Harbour,BS,78.55,broken clouds,26.5412,-77.0636,Lofty Fig Villas
296,Ndele,CF,85.87,overcast clouds,8.4109,20.6473,No hotel found
297,Jaguaruana,BR,86.45,overcast clouds,-4.8339,-37.7811,Pousada Aconchego
298,Ahuimanu,US,74.17,scattered clouds,21.4447,-157.8378,No hotel found
300,Brazzaville,CG,82.0,light rain,-4.2658,15.2832,BLISS HOTEL
301,Amapa,BR,89.73,overcast clouds,1.0,-52.0,No hotel found
307,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
316,Samarai,PG,81.54,broken clouds,-10.6167,150.6667,No hotel found
318,Kieta,PG,79.09,light rain,-6.2167,155.6333,No hotel found
321,Mwembe,TZ,70.05,light rain,-4.15,37.85,No hotel found
322,Valera,VE,81.66,broken clouds,9.3178,-70.6036,Valera
323,Edgewater,US,81.09,few clouds,28.9889,-80.9023,Best Western Edgewater Inn
325,Sokoto,NG,89.04,clear sky,13.0609,5.239,Pinnade hotel
328,Gamba,GA,79.45,light rain,-2.65,10.0,No hotel found
330,Omboue,GA,80.53,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
339,Sokoni,TZ,80.71,broken clouds,-6.4333,39.55,La Madrugada Beach Hotel
340,Vertientes,CU,86.61,clear sky,21.2594,-78.1464,Hotel Rancho Hatuey
346,Rock Sound,BS,79.66,clear sky,24.9,-76.2,Rock Sound Club
348,Jalpan,MX,74.21,broken clouds,21.2333,-99.4833,Posada Karina
349,Pucallpa,PE,87.84,broken clouds,-8.3791,-74.5539,Hospedaje Cristofer
352,Wajir,KE,88.56,broken clouds,1.7471,40.0573,Ngamia Club
354,Tabuk,PH,74.32,few clouds,17.4189,121.4443,Davidson Hotel
362,Mount Isa,AU,76.77,light rain,-20.7333,139.5,Ibis Styles
364,Jamame,SO,78.44,scattered clouds,0.0722,42.7506,No hotel found
370,Sal Rei,CV,75.78,clear sky,16.1833,-22.9167,Hotel Marine Club
373,Sao Francisco Do Sul,BR,75.27,light rain,-26.2433,-48.6381,Hotel Zibamba
375,Barentu,ER,82.63,clear sky,15.1139,37.5928,No hotel found
377,Mattru,SL,84.25,moderate rain,7.6244,-11.8332,No hotel found
384,Amalapuram,IN,74.14,few clouds,16.5833,82.0167,No hotel found
390,West Bay,KY,87.01,few clouds,19.3667,-81.4167,Bonnie's Arch
392,Ponot,PH,78.48,overcast clouds,8.452,123.0222,No hotel found
395,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
398,Kabo,CF,88.84,broken clouds,7.6994,18.629,No hotel found
403,Lima,PE,71.85,scattered clouds,-12.0432,-77.0282,Hotel Peach Garden
406,Sechura,PE,76.35,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
408,Panalingaan,PH,79.5,overcast clouds,8.7842,117.4231,No hotel found
409,Beloha,MG,72.27,light rain,-25.1667,45.05,No hotel found
410,Ranot,TH,81.57,broken clouds,7.7777,100.3213,Tarin Hotel
414,Abonnema,NG,85.89,overcast clouds,4.7084,6.7931,No hotel found
417,Qandala,SO,78.69,clear sky,11.472,49.8728,No hotel found
424,Sola,VU,82.18,broken clouds,-13.8833,167.55,No hotel found
425,Bell Ville,AR,75.67,overcast clouds,-32.6259,-62.6887,No hotel found
428,Villa Maria,AR,74.82,overcast clouds,-32.4075,-63.2402,Gran Hotel Orión
433,Takaungu,KE,78.57,overcast clouds,-3.6837,39.8566,No hotel found
435,Noumea,NC,81.0,scattered clouds,-22.2763,166.4572,Hotel Gondwana
436,Palasa,IN,73.06,clear sky,18.7667,84.4167,No hotel found
440,Obo,CF,77.74,light rain,5.3998,26.4869,No hotel found
