City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,Eidfjord,60.4675,7.0719,44.33,98,100,6.85,NO,11/27/22 18:39
96,Hobart,-42.8794,147.3294,48.06,73,68,11.5,AU,11/27/22 18:42
97,Svobodnyy,51.4,128.1333,-7.82,96,72,4.97,RU,11/27/22 18:43
98,Mugur-Aksy,50.35,90.5,-23.42,78,12,6.13,RU,11/27/22 18:43
99,Sakakah,29.9697,40.2064,63.97,48,100,13.73,SA,11/27/22 18:43
100,Stornoway,58.2093,-6.3865,49.96,82,100,25.32,GB,11/27/22 18:43
101,Zheleznodorozhnyy,55.7503,38.0042,27.12,95,100,8.19,RU,11/27/22 18:43
102,Sitka,57.0531,-135.33,28.29,86,0,5.75,US,11/27/22 18:43
103,Luderitz,-26.6481,15.1594,61.09,89,4,3.31,NA,11/27/22 18:43
104,Bom Jesus,-9.0744,-44.3586,84.4,58,69,1.66,BR,11/27/22 18:43
105,Inhambane,-23.865,35.3833,73.38,94,75,0,MZ,11/27/22 18:43
106,Palmer,42.1584,-72.3287,54.64,49,100,6.91,US,11/27/22 18:43
107,Butaritari,3.0707,172.7902,81.05,76,10,11.95,KI,11/27/22 18:43
108,Mujiayingzi,42.1167,118.7833,23.7,59,60,3.31,CN,11/27/22 18:43
109,Saint-Philippe,-21.3585,55.7679,72.99,69,0,8.05,RE,11/27/22 18:43
110,Chokurdakh,70.6333,147.9167,-40.23,100,89,0.98,RU,11/27/22 18:43
111,Zabol,32.25,67.25,44.1,34,44,1.66,AF,11/27/22 18:43
112,Kloulklubed,7.0419,134.2556,77.5,78,99,14.79,PW,11/27/22 18:43
113,Bluff,-46.6,168.3333,45.73,84,100,7.11,NZ,11/27/22 18:43
114,Aksu,41.1231,80.2644,28.89,18,0,8.01,CN,11/27/22 18:43
115,Klaksvik,62.2266,-6.589,49.12,85,79,32.37,FO,11/27/22 18:43
116,Ko Samui,9.5357,99.9357,81.57,75,10,1.68,TH,11/27/22 18:43
117,Hasaki,35.7333,140.8333,45.28,56,100,4.32,JP,11/27/22 18:39
118,Qaqortoq,60.7167,-46.0333,24.6,92,100,7.67,GL,11/27/22 18:43
119,Shizunai,42.3339,142.3669,37.89,68,20,10.67,JP,11/27/22 18:43
120,Marawi,7.9986,124.2928,67.68,95,97,0.13,PH,11/27/22 18:43
121,Svetlogorsk,52.6333,29.7333,31.46,99,100,2.98,BY,11/27/22 18:43
122,Castro,-24.7911,-50.0119,64.4,92,98,8.66,BR,11/27/22 18:43
123,Moundou,8.5667,16.0833,77.92,25,10,4.34,TD,11/27/22 18:43
124,Port Hardy,50.6996,-127.4199,39.38,93,75,8.05,CA,11/27/22 18:43
125,Mecca,21.4267,39.8261,79.05,62,0,3.11,SA,11/27/22 18:43
126,Vychegodskiy,61.247,46.8984,6.69,97,100,2.24,RU,11/27/22 18:43
127,Pecos,31.4229,-103.4932,60.24,47,0,8.05,US,11/27/22 18:43
128,Edd,13.9297,41.6925,82.17,62,5,17.72,ER,11/27/22 18:43
129,Margate,51.3813,1.3862,53.31,97,100,1.99,GB,11/27/22 18:43
130,Plainview,40.7765,-73.4673,55.89,78,100,16.11,US,11/27/22 18:40
131,Itaituba,-4.2761,-55.9836,89.76,62,40,3.44,BR,11/27/22 18:43
132,Bundaberg,-24.85,152.35,74.21,79,100,1.01,AU,11/27/22 18:42
133,Chama,47.1821,8.4636,41.61,89,100,1.14,CH,11/27/22 18:44
134,Namatanai,-3.6667,152.4333,79.43,76,21,4.61,PG,11/27/22 18:44
135,Nikolskoye,59.7035,30.7861,22.91,93,99,5.61,RU,11/27/22 18:44
136,Port Lincoln,-34.7333,135.8667,55.58,71,80,10.38,AU,11/27/22 18:44
137,Rathdrum,47.8137,-116.892,38.8,74,100,12.66,US,11/27/22 18:44
138,Batsfjord,70.6345,29.7185,30.13,86,20,21.85,NO,11/27/22 18:44
139,Tommot,58.9564,126.2925,-38.42,100,100,0.49,RU,11/27/22 18:44
140,Kavaratti,10.5669,72.642,81.25,70,11,6.11,IN,11/27/22 18:44
141,Yicheng,31.3705,119.8703,60.73,88,76,8.55,CN,11/27/22 18:44
142,Severo-Kurilsk,50.6789,156.125,32.41,83,86,30.2,RU,11/27/22 18:44
